sensor_id,09/01/2013,09/02/2013,09/03/2013,09/04/2013,09/05/2013,09/06/2013,09/07/2013,09/08/2013,09/09/2013,09/10/2013,09/11/2013,09/12/2013,09/13/2013,09/14/2013,09/15/2013,09/16/2013,09/17/2013,09/18/2013,09/19/2013,09/20/2013,09/21/2013,09/22/2013,09/23/2013,09/24/2013,09/25/2013,09/26/2013,09/27/2013,09/28/2013,09/29/2013,09/30/2013,
269,3331.666667,2808.000000,4968.666667,5099.000000,5244.666667,5064.333333,4288.666667,3072.333333,4879.666667,4938.000000,5091.666667,5160.333333,5107.666667,4308.666667,3042.666667,4737.000000,4959.000000,5062.000000,4951.666667,5243.333333,4389.000000,3137.666667,4336.333333,4988.333333,5098.333333,5454.666667,5283.000000,4485.666667,3137.333333,5152.333333,
270,3325.000000,2763.666667,6228.333333,6297.333333,6397.000000,6197.666667,5020.000000,3412.666667,6432.000000,6518.333333,6486.666667,6250.666667,6323.000000,5036.666667,3359.000000,6001.333333,6661.666667,6334.333333,6297.666667,6290.666667,5003.333333,3367.333333,5377.666667,6514.666667,6398.333333,6435.000000,6436.333333,5145.000000,3307.333333,6304.666667,
271,280.666667,891.666667,882.666667,994.666667,1001.666667,881.666667,507.666667,280.666667,891.666667,882.666667,994.666667,1001.666667,881.666667,507.666667,280.666667,891.666667,882.666667,994.666667,1001.666667,881.666667,507.666667,280.666667,891.666667,882.666667,994.666667,1001.666667,881.666667,507.666667,280.666667,891.666667,
272,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
273,4138.333333,7853.000000,7769.333333,8044.333333,8288.000000,8354.000000,6240.333333,4138.333333,7853.000000,7769.333333,8044.333333,8288.000000,8354.000000,6240.333333,4138.333333,7853.000000,7769.333333,8044.333333,8288.000000,8354.000000,6240.333333,4138.333333,7853.000000,7769.333333,8044.333333,8288.000000,8354.000000,6240.333333,4138.333333,7853.000000,
274,4138.333333,7853.000000,7769.333333,8044.333333,8288.000000,8354.000000,6240.333333,4138.333333,7853.000000,7769.333333,8044.333333,8288.000000,8354.000000,6240.333333,4138.333333,7853.000000,7769.333333,8044.333333,8288.000000,8354.000000,6240.333333,4138.333333,7853.000000,7769.333333,8044.333333,8288.000000,8354.000000,6240.333333,4138.333333,7853.000000,
275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
276,5143.333333,4430.333333,6274.333333,6263.333333,6563.000000,6406.333333,6027.333333,4826.666667,6212.000000,6349.333333,6331.333333,6409.000000,6401.333333,5040.333333,3817.000000,6125.666667,6228.333333,6364.000000,6391.000000,6527.000000,6027.666667,4863.666667,6240.333333,6280.333333,6459.333333,6798.333333,6645.666667,5033.000000,3981.333333,6582.000000,
277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
278,4138.333333,7853.000000,7769.333333,8044.333333,8288.000000,8354.000000,6240.333333,4138.333333,7853.000000,7769.333333,8044.333333,8288.000000,8354.000000,6240.333333,4138.333333,7853.000000,7769.333333,8044.333333,8288.000000,8354.000000,6240.333333,4138.333333,7853.000000,7769.333333,8044.333333,8288.000000,8354.000000,6240.333333,4138.333333,7853.000000,
279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
280,3702.333333,3215.333333,4836.666667,5007.333333,5240.000000,5148.666667,5179.000000,3833.666667,5302.000000,5230.000000,5196.666667,5117.000000,5230.666667,5300.666667,3863.666667,5101.666667,5185.666667,5171.333333,4947.666667,5300.666667,5470.000000,3428.333333,4936.666667,5013.333333,4961.333333,5295.333333,5277.666667,5286.000000,3764.000000,5060.666667,
281,252.333333,209.333333,443.333333,479.666667,525.666667,510.000000,373.000000,258.000000,479.000000,512.666667,512.666667,492.333333,554.000000,359.333333,254.000000,489.333333,507.000000,523.333333,503.666667,557.666667,396.000000,260.333333,483.666667,457.000000,492.000000,543.333333,562.666667,343.333333,298.333333,501.666667,
282,3033.000000,2532.000000,4170.000000,4315.333333,4529.333333,4462.666667,4584.666667,3178.333333,4554.666667,4525.333333,4490.666667,4402.333333,4551.000000,4716.000000,3209.666667,4405.000000,4495.000000,4504.666667,4689.000000,4672.333333,4890.666667,3171.666667,4539.666667,4552.000000,4275.000000,4567.000000,4590.000000,4746.000000,3036.000000,4357.666667,
283,173.666667,160.000000,269.666667,283.333333,301.666667,287.666667,263.666667,185.000000,277.666667,297.333333,284.333333,280.000000,296.666667,189.666667,128.333333,274.666667,296.000000,289.666667,288.666667,307.666667,250.333333,201.333333,290.000000,294.666667,300.000000,310.666667,286.000000,185.666667,144.000000,271.666667,
284,3207.666667,2721.000000,4664.333333,4754.333333,4923.666667,4902.000000,4163.666667,2970.666667,4628.333333,4747.666667,4750.666667,4887.000000,4851.666667,3368.000000,2283.666667,4653.666667,4692.000000,4725.666667,4834.666667,4962.333333,4150.666667,3097.666667,4684.333333,4791.333333,4916.000000,5279.000000,5097.666667,3444.333333,2403.333333,4994.666667,
285,38.333333,44.333333,161.666667,160.666667,187.666667,162.333333,84.333333,41.000000,172.333333,162.000000,165.666667,138.000000,170.000000,81.333333,35.000000,163.666667,170.000000,171.333333,173.666667,190.666667,77.666667,34.666667,170.333333,154.333333,165.000000,169.666667,188.333333,81.666667,38.333333,163.666667,
286,3278.000000,2674.000000,4051.333333,5445.333333,5329.000000,5670.666667,4543.333333,3293.000000,4668.666667,5528.000000,4207.666667,5574.333333,5686.666667,4546.333333,3167.666667,4438.333333,5077.666667,5318.333333,5549.333333,4827.333333,4918.666667,3100.666667,5433.000000,5363.666667,5431.333333,5693.000000,4687.666667,4736.000000,3239.333333,4416.666667,
287,121.666667,139.000000,nan,324.666667,nan,nan,nan,117.000000,335.666667,351.000000,332.000000,303.333333,nan,184.333333,nan,nan,nan,nan,333.000000,nan,210.666667,117.000000,327.666667,nan,nan,338.000000,321.666667,nan,nan,332.000000,
288,3317.333333,2803.666667,4737.666667,4978.666667,4894.333333,4974.000000,4584.666667,3108.333333,4795.333333,4887.666667,4908.333333,5117.333333,4999.333333,3660.333333,3128.000000,3811.000000,4887.666667,4955.000000,5091.333333,5034.000000,4319.000000,3225.000000,4844.666667,4887.666667,4955.000000,5483.666667,5280.000000,4221.666667,3216.333333,5171.333333,
289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
290,152.666667,138.333333,244.333333,274.666667,260.666667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
291,3930.000000,3339.333333,6024.333333,6100.000000,6262.333333,6063.666667,5392.000000,3756.666667,5577.666667,5966.666667,6012.000000,6102.333333,6116.333333,5340.333333,3680.333333,5680.000000,6031.666667,6095.000000,6149.000000,6193.666667,5463.666667,3782.666667,4781.666667,6132.666667,6181.666667,6330.000000,6272.666667,5402.000000,3930.000000,3339.333333,
292,3125.666667,2279.000000,4105.333333,4002.666667,4787.000000,5546.666667,4507.666667,3051.000000,3789.000000,5033.666667,4808.666667,4994.666667,5477.333333,4496.000000,3017.333333,3852.666667,4927.333333,4660.333333,4882.666667,5436.333333,4388.666667,3107.333333,3158.333333,5314.000000,4645.000000,4881.000000,5487.000000,4218.000000,3210.666667,2279.000000,
